fit_days,strategy,seed,epoch,parameter_group,parameters,anchor_loss,paired_loss,total_loss,anchor_norm,paired_norm,total_norm,norm_ratio,dot,cosine,anchor_directional,paired_directional,anchor_zero,paired_zero,total_zero,conflict,magnitude_imbalance,anchor_increases,paired_increases
342,IN,0,0,all,7569,0.01335883304087881,0.02265757645081825,0.01800820474584853,0.12212920330430059,0.2123608270102197,0.16629945260797344,1.7388210294068276,0.02530468430131938,0.9756790761318226,-0.12092711662700374,-0.21167178858894312,False,False,False,False,False,False,False
342,IN,0,0,gates,7552,0.01335883304087881,0.02265757645081825,0.01800820474584853,0.0,0.0,0.0,,0.0,,,,True,True,True,False,False,False,False
342,IN,0,0,output,17,0.01335883304087881,0.02265757645081825,0.01800820474584853,0.12212920330430059,0.2123608270102197,0.1662994526079734,1.7388210294068276,0.02530468430131938,0.9756790761318226,-0.12092711662700374,-0.21167178858894314,False,False,False,False,False,False,False
342,IN,0,25,all,7569,0.004201849742776272,0.0038593069506097522,0.004030578346693012,0.0648811570183101,0.07715341926172309,0.0696901675154621,1.1891498673482293,0.004632331576761421,0.9253922847783872,-0.06343718510099926,-0.07594314992992494,False,False,False,False,False,False,False
342,IN,0,25,gates,7552,0.004201849742776272,0.0038593069506097522,0.004030578346693012,0.010575183702687615,0.016343672389667708,0.01276425510834043,1.5454740881252085,0.00013637734817840145,0.7890502702573046,-0.009722927676437789,-0.015805582540243078,False,False,False,False,False,False,False
342,IN,0,25,output,17,0.004201849742776272,0.0038593069506097522,0.004030578346693012,0.06401351439882846,0.07540248322565006,0.06851126359849433,1.177915068931601,0.00449595422858302,0.9314607548113643,-0.06271730955536559,-0.07430521764162307,False,False,False,False,False,False,False
342,IN,0,50,all,7569,0.0018871033512579496,0.0005372541280112319,0.0012121787396345907,0.01075283222731836,0.011153264825334675,0.007194272501586393,1.037239732709582,-1.649424493228778e-05,-0.1375332023634815,-0.006889449625011411,-0.0074990953781613745,False,False,False,True,False,False,False
342,IN,0,50,gates,7552,0.0018871033512579496,0.0005372541280112319,0.0012121787396345907,0.004064590200842128,0.0024495704950194394,0.0022084377647028307,0.6026611230111024,-1.506249834294544e-06,-0.1512830612614691,-0.0033993812065851196,-0.0010174943228205423,False,False,False,True,False,False,False
342,IN,0,50,output,17,0.0018871033512579496,0.0005372541280112319,0.0012121787396345907,0.009955024229406702,0.010880943003893457,0.006846923357721809,1.0930101979814004,-1.4987995097993236e-05,-0.1383676884017695,-0.006142504298315152,-0.007551342417128466,False,False,False,True,False,False,False
342,IN,0,75,all,7569,0.0009809253298206585,0.0003187019544770908,0.0006498136421488746,0.005258571528376265,0.004636096794986529,0.002688394780831617,0.8816266489804803,-1.0118051010561572e-05,-0.4150272226567738,-0.003261151158585395,-0.0021156384030778393,False,False,False,True,False,False,False
342,IN,0,75,gates,7552,0.0009809253298206585,0.0003187019544770908,0.0006498136421488746,0.002066150470410949,0.0017489068082378297,0.0010724699432115626,0.8464566512863795,-1.363442836955585e-06,-0.37731869158105064,-0.0013545997012853514,-0.0007903401851377739,False,False,False,True,False,False,False
342,IN,0,75,output,17,0.0009809253298206585,0.0003187019544770908,0.0006498136421488746,0.00483565887472122,0.004293567103072192,0.0024652129154518207,0.8878970196837385,-8.754608173605987e-06,-0.4216603860314247,-0.0029670841993749116,-0.00196334163152873,False,False,False,True,False,False,False
342,IN,0,100,all,7569,0.000575482322753867,0.00019347155689191368,0.0003844769398228903,0.00443879901741522,0.00281854052833204,0.0017006386973381785,0.6349781815472508,-8.039209755660095e-06,-0.6425746598567478,-0.0034292195572175814,2.7942162541224578e-05,False,False,False,True,False,False,True
342,IN,0,100,gates,7552,0.000575482322753867,0.00019347155689191368,0.0003844769398228903,0.0015604939022312498,0.001107361502724392,0.0006809243284561503,0.7096224478295282,-9.0337947614155e-07,-0.5227797086747356,-0.0011247664966181372,-0.0002370821602941634,False,False,False,True,False,False,False
342,IN,0,100,output,17,0.000575482322753867,0.00019347155689191368,0.0003844769398228903,0.004155453705446062,0.002591895293435719,0.0015583690313275085,0.6237334060631763,-7.135830279518546e-06,-0.6625346717811308,-0.003250823461871502,0.00013408539921648522,False,False,False,True,False,False,True
342,IN,1,0,all,7569,0.01335883304087881,0.02265757645081825,0.01800820474584853,0.11943529691635542,0.21103793425614453,0.1645870585915153,1.7669645381627974,0.024776899789314393,0.9830005111040887,-0.11860498107481529,-0.21056913610821534,False,False,False,False,False,False,False
