origin,target,lead,last_observation_index,teacher_fit_days,part
31,31,0,30,612,train
31,37,6,30,612,train
31,60,29,30,612,train
31,90,59,30,612,train
31,120,89,30,612,train
31,150,119,30,612,train
31,180,149,30,612,train
31,210,179,30,612,train
45,45,0,44,612,train
45,51,6,44,612,train
45,74,29,44,612,train
45,104,59,44,612,train
45,134,89,44,612,train
45,164,119,44,612,train
45,194,149,44,612,train
45,224,179,44,612,train
59,59,0,58,612,train
59,65,6,58,612,train
59,88,29,58,612,train
59,118,59,58,612,train
59,148,89,58,612,train
59,178,119,58,612,train
59,208,149,58,612,train
59,238,179,58,612,train
73,73,0,72,612,train
73,79,6,72,612,train
73,102,29,72,612,train
73,132,59,72,612,train
73,162,89,72,612,train
73,192,119,72,612,train
73,222,149,72,612,train
73,252,179,72,612,train
87,87,0,86,612,train
87,93,6,86,612,train
87,116,29,86,612,train
87,146,59,86,612,train
87,176,89,86,612,train
87,206,119,86,612,train
87,236,149,86,612,train
87,266,179,86,612,train
101,101,0,100,612,train
101,107,6,100,612,train
101,130,29,100,612,train
101,160,59,100,612,train
101,190,89,100,612,train
101,220,119,100,612,train
101,250,149,100,612,train
101,280,179,100,612,train
115,115,0,114,612,train
115,121,6,114,612,train
115,144,29,114,612,train
115,174,59,114,612,train
115,204,89,114,612,train
115,234,119,114,612,train
115,264,149,114,612,train
115,294,179,114,612,train
129,129,0,128,612,train
129,135,6,128,612,train
129,158,29,128,612,train
129,188,59,128,612,train
129,218,89,128,612,train
129,248,119,128,612,train
129,278,149,128,612,train
129,308,179,128,612,train
143,143,0,142,612,train
143,149,6,142,612,train
143,172,29,142,612,train
143,202,59,142,612,train
143,232,89,142,612,train
143,262,119,142,612,train
143,292,149,142,612,train
143,322,179,142,612,train
157,157,0,156,612,train
157,163,6,156,612,train
157,186,29,156,612,train
157,216,59,156,612,train
157,246,89,156,612,train
157,276,119,156,612,train
157,306,149,156,612,train
157,336,179,156,612,train
171,171,0,170,612,train
171,177,6,170,612,train
171,200,29,170,612,train
171,230,59,170,612,train
171,260,89,170,612,train
171,290,119,170,612,train
171,320,149,170,612,train
171,350,179,170,612,train
185,185,0,184,612,train
185,191,6,184,612,train
185,214,29,184,612,train
185,244,59,184,612,train
185,274,89,184,612,train
185,304,119,184,612,train
185,334,149,184,612,train
185,364,179,184,612,train
199,199,0,198,612,train
199,205,6,198,612,train
199,228,29,198,612,train
199,258,59,198,612,train
199,288,89,198,612,train
199,318,119,198,612,train
199,348,149,198,612,train
199,378,179,198,612,train
213,213,0,212,612,train
213,219,6,212,612,train
213,242,29,212,612,train
213,272,59,212,612,train
213,302,89,212,612,train
213,332,119,212,612,train
213,362,149,212,612,train
213,392,179,212,612,train
227,227,0,226,612,train
227,233,6,226,612,train
227,256,29,226,612,train
227,286,59,226,612,train
227,316,89,226,612,train
227,346,119,226,612,train
227,376,149,226,612,train
227,406,179,226,612,train
241,241,0,240,612,train
241,247,6,240,612,train
241,270,29,240,612,train
241,300,59,240,612,train
241,330,89,240,612,train
241,360,119,240,612,train
241,390,149,240,612,train
241,420,179,240,612,train
255,255,0,254,612,train
255,261,6,254,612,train
255,284,29,254,612,train
255,314,59,254,612,train
255,344,89,254,612,train
255,374,119,254,612,train
255,404,149,254,612,train
255,434,179,254,612,train
269,269,0,268,612,train
269,275,6,268,612,train
269,298,29,268,612,train
269,328,59,268,612,train
269,358,89,268,612,train
269,388,119,268,612,train
269,418,149,268,612,train
269,448,179,268,612,train
283,283,0,282,612,train
283,289,6,282,612,train
283,312,29,282,612,train
283,342,59,282,612,train
283,372,89,282,612,train
283,402,119,282,612,train
283,432,149,282,612,train
283,462,179,282,612,train
297,297,0,296,612,train
297,303,6,296,612,train
297,326,29,296,612,train
297,356,59,296,612,train
297,386,89,296,612,train
297,416,119,296,612,train
297,446,149,296,612,train
297,476,179,296,612,train
311,311,0,310,612,train
311,317,6,310,612,train
311,340,29,310,612,train
311,370,59,310,612,train
311,400,89,310,612,train
311,430,119,310,612,train
311,460,149,310,612,train
311,490,179,310,612,train
325,325,0,324,612,train
325,331,6,324,612,train
325,354,29,324,612,train
325,384,59,324,612,train
325,414,89,324,612,train
