origin,target,lead,last_observation_index,teacher_fit_days,part
31,31,0,30,432,train
31,37,6,30,432,train
31,60,29,30,432,train
31,90,59,30,432,train
31,120,89,30,432,train
31,150,119,30,432,train
31,180,149,30,432,train
31,210,179,30,432,train
45,45,0,44,432,train
45,51,6,44,432,train
45,74,29,44,432,train
45,104,59,44,432,train
45,134,89,44,432,train
45,164,119,44,432,train
45,194,149,44,432,train
45,224,179,44,432,train
59,59,0,58,432,train
59,65,6,58,432,train
59,88,29,58,432,train
59,118,59,58,432,train
59,148,89,58,432,train
59,178,119,58,432,train
59,208,149,58,432,train
59,238,179,58,432,train
73,73,0,72,432,train
73,79,6,72,432,train
73,102,29,72,432,train
73,132,59,72,432,train
73,162,89,72,432,train
73,192,119,72,432,train
73,222,149,72,432,train
73,252,179,72,432,train
87,87,0,86,432,train
87,93,6,86,432,train
87,116,29,86,432,train
87,146,59,86,432,train
87,176,89,86,432,train
87,206,119,86,432,train
87,236,149,86,432,train
87,266,179,86,432,train
101,101,0,100,432,train
101,107,6,100,432,train
101,130,29,100,432,train
101,160,59,100,432,train
101,190,89,100,432,train
101,220,119,100,432,train
101,250,149,100,432,train
101,280,179,100,432,train
115,115,0,114,432,train
115,121,6,114,432,train
115,144,29,114,432,train
115,174,59,114,432,train
115,204,89,114,432,train
115,234,119,114,432,train
115,264,149,114,432,train
115,294,179,114,432,train
129,129,0,128,432,train
129,135,6,128,432,train
129,158,29,128,432,train
129,188,59,128,432,train
129,218,89,128,432,train
129,248,119,128,432,train
129,278,149,128,432,train
129,308,179,128,432,train
143,143,0,142,432,train
143,149,6,142,432,train
143,172,29,142,432,train
143,202,59,142,432,train
143,232,89,142,432,train
143,262,119,142,432,train
143,292,149,142,432,train
143,322,179,142,432,train
157,157,0,156,432,train
157,163,6,156,432,train
157,186,29,156,432,train
157,216,59,156,432,train
157,246,89,156,432,train
157,276,119,156,432,train
157,306,149,156,432,train
157,336,179,156,432,train
171,171,0,170,432,train
171,177,6,170,432,train
171,200,29,170,432,train
171,230,59,170,432,train
171,260,89,170,432,train
171,290,119,170,432,train
171,320,149,170,432,train
171,350,179,170,432,train
185,185,0,184,432,train
185,191,6,184,432,train
185,214,29,184,432,train
185,244,59,184,432,train
185,274,89,184,432,train
185,304,119,184,432,train
185,334,149,184,432,train
185,364,179,184,432,train
199,199,0,198,432,train
199,205,6,198,432,train
199,228,29,198,432,train
199,258,59,198,432,train
199,288,89,198,432,train
199,318,119,198,432,train
199,348,149,198,432,train
199,378,179,198,432,train
213,213,0,212,432,train
213,219,6,212,432,train
213,242,29,212,432,train
213,272,59,212,432,train
213,302,89,212,432,train
213,332,119,212,432,train
213,362,149,212,432,train
213,392,179,212,432,train
227,227,0,226,432,train
227,233,6,226,432,train
227,256,29,226,432,train
227,286,59,226,432,train
227,316,89,226,432,train
227,346,119,226,432,train
227,376,149,226,432,train
227,406,179,226,432,train
241,241,0,240,432,train
241,247,6,240,432,train
241,270,29,240,432,train
241,300,59,240,432,train
241,330,89,240,432,train
241,360,119,240,432,train
241,390,149,240,432,train
241,420,179,240,432,train
255,255,0,254,432,train
255,261,6,254,432,train
255,284,29,254,432,train
255,314,59,254,432,train
255,344,89,254,432,train
255,374,119,254,432,train
255,404,149,254,432,train
269,269,0,268,432,train
269,275,6,268,432,train
269,298,29,268,432,train
269,328,59,268,432,train
269,358,89,268,432,train
269,388,119,268,432,train
269,418,149,268,432,train
283,283,0,282,432,train
283,289,6,282,432,train
283,312,29,282,432,train
283,342,59,282,432,train
283,372,89,282,432,train
283,402,119,282,432,train
297,297,0,296,432,train
297,303,6,296,432,train
297,326,29,296,432,train
297,356,59,296,432,train
297,386,89,296,432,train
297,416,119,296,432,train
311,311,0,310,432,train
311,317,6,310,432,train
311,340,29,310,432,train
311,370,59,310,432,train
311,400,89,310,432,train
311,430,119,310,432,train
325,325,0,324,432,train
325,331,6,324,432,train
325,354,29,324,432,train
325,384,59,324,432,train
325,414,89,324,432,train
339,339,0,338,432,train
339,345,6,338,432,train
339,368,29,338,432,train
339,398,59,338,432,train
339,428,89,338,432,train
353,353,0,352,432,train
353,359,6,352,432,train
353,382,29,352,432,train
353,412,59,352,432,train
367,367,0,366,432,train
367,373,6,366,432,train
367,396,29,366,432,train
367,426,59,366,432,train
381,381,0,380,432,train
381,387,6,380,432,train
381,410,29,380,432,train
395,395,0,394,432,train
395,401,6,394,432,train
395,424,29,394,432,train
409,409,0,408,432,train
409,415,6,408,432,train
423,423,0,422,432,train
423,429,6,422,432,train
