index,name,storage
0,log_tauP_O3,log
1,log_tauP_O2,log
2,log_tauP_O1_up,log
3,log_tauP_O1_down,log
4,margin_O3,linear
5,margin_O2,linear
6,margin_O1_up,linear
7,margin_O1_down,linear
8,log_eta_O3,log
9,log_eta_O2,log
10,log_eta_O1_up,log
11,log_eta_O1_down,log
12,log_hardening_O3,log
13,log_hardening_O2,log
14,log_hardening_O1_up,log
15,log_hardening_O1_down,log
16,log_tauRest_O3,log
17,log_tauRest_O2,log
18,log_tauRest_O1_up,log
19,log_tauRest_O1_down,log
20,log_tauMotion_O3,log
21,log_tauMotion_O2,log
22,log_tauMotion_O1_up,log
23,log_tauMotion_O1_down,log
24,creep_O3,linear
25,creep_O2,linear
26,creep_O1_up,linear
27,creep_O1_down,linear
28,initial_relaxation_O3,linear
29,initial_relaxation_O2,linear
30,initial_relaxation_O1_up,linear
31,initial_relaxation_O1_down,linear
32,log_tauKelvin_O3,log
33,log_tauKelvin_O2,log
34,log_tauKelvin_O1_up,log
35,log_tauKelvin_O1_down,log
36,log_tauR,log
37,reservoir_gradient_gain,linear
38,reservoir_support_gain,linear
39,log_k32,log
40,log_k21,log
41,log_E_MPa,log
42,log_tauContact,log
43,log_tauBulk,log
44,rain_compliance_O3,linear
45,rain_compliance_O2,linear
46,rain_compliance_O1,linear
47,wet_creep_O3,linear
48,wet_creep_O2,linear
49,wet_creep_O1_up,linear
50,wet_creep_O1_down,linear
51,log_tauMoisture_O3,log
52,log_tauMoisture_O2,log
53,log_tauMoisture_O1,log
