figure,panel,role,center,uncertainty,replicate,numeric,alignment,visual,collision,labels_legend
comparison,a,relative temporal error,ensemble score or fixed residual variance ratio,all three seed scores in comparison; descriptive ratio has no CI,"overlapping time windows, four points, one landslide",passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
comparison,b,matched spatial increment,ensemble score or fixed residual variance ratio,all three seed scores in comparison; descriptive ratio has no CI,"overlapping time windows, four points, one landslide",passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
comparison,c,point mean error,ensemble score or fixed residual variance ratio,all three seed scores in comparison; descriptive ratio has no CI,"overlapping time windows, four points, one landslide",passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
comparison,d,point probability score,ensemble score or fixed residual variance ratio,all three seed scores in comparison; descriptive ratio has no CI,"overlapping time windows, four points, one landslide",passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
GRU_GRAPH_mentor,ATU1,complete point-specific trajectory,"three-seed ensemble, 293 forecast days; full observed/B+ history",80/95% Gaussian marginal prediction interval; not seed CI,three optimizer seeds; one landslide,passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
GRU_GRAPH_mentor,ATU5,complete point-specific trajectory,"three-seed ensemble, 293 forecast days; full observed/B+ history",80/95% Gaussian marginal prediction interval; not seed CI,three optimizer seeds; one landslide,passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
GRU_GRAPH_mentor,MJ3,complete point-specific trajectory,"three-seed ensemble, 293 forecast days; full observed/B+ history",80/95% Gaussian marginal prediction interval; not seed CI,three optimizer seeds; one landslide,passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
GRU_GRAPH_mentor,MJ1,complete point-specific trajectory,"three-seed ensemble, 293 forecast days; full observed/B+ history",80/95% Gaussian marginal prediction interval; not seed CI,three optimizer seeds; one landslide,passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
GRU_LOCAL_mentor,ATU1,complete point-specific trajectory,"three-seed ensemble, 293 forecast days; full observed/B+ history",80/95% Gaussian marginal prediction interval; not seed CI,three optimizer seeds; one landslide,passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
GRU_LOCAL_mentor,ATU5,complete point-specific trajectory,"three-seed ensemble, 293 forecast days; full observed/B+ history",80/95% Gaussian marginal prediction interval; not seed CI,three optimizer seeds; one landslide,passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
GRU_LOCAL_mentor,MJ3,complete point-specific trajectory,"three-seed ensemble, 293 forecast days; full observed/B+ history",80/95% Gaussian marginal prediction interval; not seed CI,three optimizer seeds; one landslide,passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
GRU_LOCAL_mentor,MJ1,complete point-specific trajectory,"three-seed ensemble, 293 forecast days; full observed/B+ history",80/95% Gaussian marginal prediction interval; not seed CI,three optimizer seeds; one landslide,passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
residual_diagnostic,ATU1,point-specific temporal replication of residual scale,ensemble score or fixed residual variance ratio,all three seed scores in comparison; descriptive ratio has no CI,"overlapping time windows, four points, one landslide",passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
residual_diagnostic,ATU5,point-specific temporal replication of residual scale,ensemble score or fixed residual variance ratio,all three seed scores in comparison; descriptive ratio has no CI,"overlapping time windows, four points, one landslide",passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
residual_diagnostic,MJ3,point-specific temporal replication of residual scale,ensemble score or fixed residual variance ratio,all three seed scores in comparison; descriptive ratio has no CI,"overlapping time windows, four points, one landslide",passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
residual_diagnostic,MJ1,point-specific temporal replication of residual scale,ensemble score or fixed residual variance ratio,all three seed scores in comparison; descriptive ratio has no CI,"overlapping time windows, four points, one landslide",passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
GRU_GRAPH_full,ATU1,complete point-specific trajectory,"three-seed ensemble, 293 forecast days; full observed/B+ history",80/95% Gaussian marginal prediction interval; not seed CI,three optimizer seeds; one landslide,passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
GRU_GRAPH_full,ATU5,complete point-specific trajectory,"three-seed ensemble, 293 forecast days; full observed/B+ history",80/95% Gaussian marginal prediction interval; not seed CI,three optimizer seeds; one landslide,passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
GRU_GRAPH_full,MJ3,complete point-specific trajectory,"three-seed ensemble, 293 forecast days; full observed/B+ history",80/95% Gaussian marginal prediction interval; not seed CI,three optimizer seeds; one landslide,passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
GRU_GRAPH_full,MJ1,complete point-specific trajectory,"three-seed ensemble, 293 forecast days; full observed/B+ history",80/95% Gaussian marginal prediction interval; not seed CI,three optimizer seeds; one landslide,passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
GRU_LOCAL_full,ATU1,complete point-specific trajectory,"three-seed ensemble, 293 forecast days; full observed/B+ history",80/95% Gaussian marginal prediction interval; not seed CI,three optimizer seeds; one landslide,passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
GRU_LOCAL_full,ATU5,complete point-specific trajectory,"three-seed ensemble, 293 forecast days; full observed/B+ history",80/95% Gaussian marginal prediction interval; not seed CI,three optimizer seeds; one landslide,passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
GRU_LOCAL_full,MJ3,complete point-specific trajectory,"three-seed ensemble, 293 forecast days; full observed/B+ history",80/95% Gaussian marginal prediction interval; not seed CI,three optimizer seeds; one landslide,passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
GRU_LOCAL_full,MJ1,complete point-specific trajectory,"three-seed ensemble, 293 forecast days; full observed/B+ history",80/95% Gaussian marginal prediction interval; not seed CI,three optimizer seeds; one landslide,passed,PASS,passed,PASS: final PDF 0 fail / 0 warn,visible and legible; matching units and stated uncertainty
