origin,target,teacher
31,31,342
31,32,342
31,33,342
31,34,342
31,35,342
31,36,342
31,37,342
31,38,342
31,39,342
31,40,342
31,41,342
31,42,342
31,43,342
31,44,342
31,45,342
31,46,342
31,47,342
31,48,342
31,49,342
31,50,342
31,51,342
31,52,342
31,53,342
31,54,342
31,55,342
31,56,342
31,57,342
31,58,342
31,59,342
31,60,342
31,61,342
31,62,342
31,63,342
31,64,342
31,65,342
31,66,342
31,67,342
31,68,342
31,69,342
31,70,342
31,71,342
31,72,342
31,73,342
31,74,342
31,75,342
31,76,342
31,77,342
31,78,342
31,79,342
31,80,342
31,81,342
31,82,342
31,83,342
31,84,342
31,85,342
31,86,342
31,87,342
31,88,342
31,89,342
31,90,342
31,91,342
31,92,342
31,93,342
31,94,342
31,95,342
31,96,342
31,97,342
31,98,342
31,99,342
31,100,342
31,101,342
31,102,342
31,103,342
31,104,342
31,105,342
31,106,342
31,107,342
31,108,342
31,109,342
31,110,342
31,111,342
31,112,342
31,113,342
31,114,342
31,115,342
31,116,342
31,117,342
31,118,342
31,119,342
31,120,342
31,121,342
31,122,342
31,123,342
31,124,342
31,125,342
31,126,342
31,127,342
31,128,342
31,129,342
31,130,342
31,131,342
31,132,342
31,133,342
31,134,342
31,135,342
31,136,342
31,137,342
31,138,342
31,139,342
31,140,342
31,141,342
31,142,342
31,143,342
31,144,342
31,145,342
31,146,342
31,147,342
31,148,342
31,149,342
31,150,342
31,151,342
31,152,342
31,153,342
31,154,342
31,155,342
31,156,342
31,157,342
31,158,342
31,159,342
31,160,342
31,161,342
31,162,342
31,163,342
31,164,342
31,165,342
31,166,342
31,167,342
31,168,342
31,169,342
31,170,342
31,171,342
31,172,342
31,173,342
31,174,342
31,175,342
31,176,342
31,177,342
31,178,342
31,179,342
31,180,342
31,181,342
31,182,342
31,183,342
31,184,342
31,185,342
31,186,342
31,187,342
31,188,342
31,189,342
31,190,342
31,191,342
31,192,342
31,193,342
31,194,342
31,195,342
31,196,342
31,197,342
31,198,342
31,199,342
31,200,342
31,201,342
31,202,342
31,203,342
31,204,342
31,205,342
31,206,342
31,207,342
31,208,342
31,209,342
31,210,342
211,211,342
211,212,342
211,213,342
211,214,342
211,215,342
211,216,342
211,217,342
211,218,342
211,219,342
211,220,342
211,221,342
211,222,342
211,223,342
211,224,342
211,225,342
211,226,342
211,227,342
211,228,342
211,229,342
211,230,342
211,231,342
211,232,342
211,233,342
211,234,342
211,235,342
211,236,342
211,237,342
211,238,342
211,239,342
211,240,342
211,241,342
211,242,342
211,243,342
211,244,342
211,245,342
211,246,342
211,247,342
211,248,342
211,249,342
211,250,342
211,251,342
211,252,342
211,253,342
211,254,342
211,255,342
211,256,342
211,257,342
211,258,342
211,259,342
211,260,342
211,261,342
211,262,342
211,263,342
211,264,342
211,265,342
211,266,342
211,267,342
211,268,342
211,269,342
211,270,342
211,271,342
211,272,342
211,273,342
211,274,342
211,275,342
211,276,342
211,277,342
211,278,342
211,279,342
211,280,342
211,281,342
211,282,342
211,283,342
211,284,342
211,285,342
211,286,342
211,287,342
211,288,342
211,289,342
211,290,342
211,291,342
211,292,342
211,293,342
211,294,342
211,295,342
211,296,342
211,297,342
211,298,342
211,299,342
211,300,342
211,301,342
211,302,342
211,303,342
211,304,342
211,305,342
211,306,342
211,307,342
211,308,342
211,309,342
211,310,342
211,311,342
211,312,342
211,313,342
211,314,342
211,315,342
211,316,342
211,317,342
211,318,342
211,319,342
211,320,342
211,321,342
211,322,342
211,323,342
211,324,342
211,325,342
211,326,342
211,327,342
211,328,342
