origin,target,teacher
31,31,432
31,32,432
31,33,432
31,34,432
31,35,432
31,36,432
31,37,432
31,38,432
31,39,432
31,40,432
31,41,432
31,42,432
31,43,432
31,44,432
31,45,432
31,46,432
31,47,432
31,48,432
31,49,432
31,50,432
31,51,432
31,52,432
31,53,432
31,54,432
31,55,432
31,56,432
31,57,432
31,58,432
31,59,432
31,60,432
31,61,432
31,62,432
31,63,432
31,64,432
31,65,432
31,66,432
31,67,432
31,68,432
31,69,432
31,70,432
31,71,432
31,72,432
31,73,432
31,74,432
31,75,432
31,76,432
31,77,432
31,78,432
31,79,432
31,80,432
31,81,432
31,82,432
31,83,432
31,84,432
31,85,432
31,86,432
31,87,432
31,88,432
31,89,432
31,90,432
31,91,432
31,92,432
31,93,432
31,94,432
31,95,432
31,96,432
31,97,432
31,98,432
31,99,432
31,100,432
31,101,432
31,102,432
31,103,432
31,104,432
31,105,432
31,106,432
31,107,432
31,108,432
31,109,432
31,110,432
31,111,432
31,112,432
31,113,432
31,114,432
31,115,432
31,116,432
31,117,432
31,118,432
31,119,432
31,120,432
31,121,432
31,122,432
31,123,432
31,124,432
31,125,432
31,126,432
31,127,432
31,128,432
31,129,432
31,130,432
31,131,432
31,132,432
31,133,432
31,134,432
31,135,432
31,136,432
31,137,432
31,138,432
31,139,432
31,140,432
31,141,432
31,142,432
31,143,432
31,144,432
31,145,432
31,146,432
31,147,432
31,148,432
31,149,432
31,150,432
31,151,432
31,152,432
31,153,432
31,154,432
31,155,432
31,156,432
31,157,432
31,158,432
31,159,432
31,160,432
31,161,432
31,162,432
31,163,432
31,164,432
31,165,432
31,166,432
31,167,432
31,168,432
31,169,432
31,170,432
31,171,432
31,172,432
31,173,432
31,174,432
31,175,432
31,176,432
31,177,432
31,178,432
31,179,432
31,180,432
31,181,432
31,182,432
31,183,432
31,184,432
31,185,432
31,186,432
31,187,432
31,188,432
31,189,432
31,190,432
31,191,432
31,192,432
31,193,432
31,194,432
31,195,432
31,196,432
31,197,432
31,198,432
31,199,432
31,200,432
31,201,432
31,202,432
31,203,432
31,204,432
31,205,432
31,206,432
31,207,432
31,208,432
31,209,432
31,210,432
211,211,432
211,212,432
211,213,432
211,214,432
211,215,432
211,216,432
211,217,432
211,218,432
211,219,432
211,220,432
211,221,432
211,222,432
211,223,432
211,224,432
211,225,432
211,226,432
211,227,432
211,228,432
211,229,432
211,230,432
211,231,432
211,232,432
211,233,432
211,234,432
