index,origin,weight,label_date
252,252,1.0,2017-03-10
253,252,1.0,2017-03-11
254,252,1.0,2017-03-12
255,252,1.0,2017-03-13
256,252,1.0,2017-03-14
257,252,1.0,2017-03-15
258,252,1.0,2017-03-16
259,252,1.0,2017-03-17
260,252,1.0,2017-03-18
261,252,1.0,2017-03-19
262,252,1.0,2017-03-20
263,252,1.0,2017-03-21
264,252,1.0,2017-03-22
265,252,1.0,2017-03-23
266,252,1.0,2017-03-24
267,252,1.0,2017-03-25
268,252,1.0,2017-03-26
269,252,1.0,2017-03-27
270,252,1.0,2017-03-28
271,252,1.0,2017-03-29
272,252,1.0,2017-03-30
273,252,1.0,2017-03-31
274,252,1.0,2017-04-01
275,252,1.0,2017-04-02
276,252,1.0,2017-04-03
277,252,1.0,2017-04-04
278,252,1.0,2017-04-05
279,252,1.0,2017-04-06
280,252,1.0,2017-04-07
281,252,1.0,2017-04-08
282,252,1.0,2017-04-09
283,252,1.0,2017-04-10
284,252,1.0,2017-04-11
285,252,1.0,2017-04-12
286,252,1.0,2017-04-13
287,252,1.0,2017-04-14
288,252,1.0,2017-04-15
289,252,1.0,2017-04-16
290,252,1.0,2017-04-17
291,252,1.0,2017-04-18
292,252,1.0,2017-04-19
293,252,1.0,2017-04-20
294,252,1.0,2017-04-21
295,252,1.0,2017-04-22
296,252,1.0,2017-04-23
297,252,1.0,2017-04-24
298,252,1.0,2017-04-25
299,252,1.0,2017-04-26
300,252,1.0,2017-04-27
301,252,1.0,2017-04-28
302,252,1.0,2017-04-29
303,252,1.0,2017-04-30
304,252,1.0,2017-05-01
305,252,1.0,2017-05-02
306,252,1.0,2017-05-03
307,252,1.0,2017-05-04
308,252,1.0,2017-05-05
309,252,1.0,2017-05-06
310,252,1.0,2017-05-07
311,252,1.0,2017-05-08
312,252,1.0,2017-05-09
313,252,1.0,2017-05-10
314,252,1.0,2017-05-11
315,252,1.0,2017-05-12
316,252,1.0,2017-05-13
317,252,1.0,2017-05-14
318,252,1.0,2017-05-15
319,252,1.0,2017-05-16
320,252,1.0,2017-05-17
321,252,1.0,2017-05-18
322,252,1.0,2017-05-19
323,252,1.0,2017-05-20
324,252,1.0,2017-05-21
325,252,1.0,2017-05-22
326,252,1.0,2017-05-23
327,252,1.0,2017-05-24
328,252,1.0,2017-05-25
329,252,1.0,2017-05-26
330,252,1.0,2017-05-27
331,252,1.0,2017-05-28
332,252,1.0,2017-05-29
333,252,1.0,2017-05-30
334,252,1.0,2017-05-31
335,252,1.0,2017-06-01
336,252,1.0,2017-06-02
337,252,1.0,2017-06-03
338,252,1.0,2017-06-04
339,252,1.0,2017-06-05
340,252,1.0,2017-06-06
341,252,1.0,2017-06-07
